MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Ceiling1, Ceiling1, Ceiling1, Ceiling1, Ceiling1, Ceiling1, Ceiling1, Ceiling1, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Sand, Sand, Sand, Sand, Grass, Grass, Grass
MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Ceiling1, Ceiling1, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling1, Ceiling1, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Sand, Sand, Sand, Grass, Grass, Grass, Grass
MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Ceiling1, Ceiling2, Wall, Wall, Wall, Wall, Ceiling2, Ceiling1, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Sand, Sand, Sand, Grass, Grass, Grass, Grass
MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Ceiling1, Wall, Floor, Stronghold2, Floor, Floor, Wall, Ceiling1, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Sand, Sand, Sand, Grass, Grass, Grass, Grass, Grass
MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Ceiling1, Ceiling1, Floor, Floor, Floor, Floor, Floor, Floor, Ceiling1, Ceiling1, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Sand, Sand, Sand, Grass, Grass, Grass, Grass, Grass
MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Ceiling1, Ceiling1, Floor, Floor, Floor, Floor, Floor, Floor, Ceiling1, Ceiling1, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Sand, Sand, Sand, Grass, Grass, Grass, Grass, Grass
MountainE, MountainE, MountainE, Ceiling1, Ceiling2, Ceiling2, Ceiling2, Ceiling1, Floor, Floor, Floor, Floor, Floor, Floor, Ceiling1, Ceiling1, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Sand, Sand, Sand, Sand, Grass, Grass, Grass, Grass, Grass
MountainG, MountainE, MountainE, Ceiling1, Wall, Wall, Wall, Ceiling2, Ceiling2, Floor, Floor, Floor, Floor, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling1, MountainE, MountainE, Sand, Sand, Sand, Sand, Grass, Grass, Grass, Grass, Grass, Grass
MountainG, MountainG, MountainG, Ceiling1, Floor, Stronghold2, Floor, Wall, Wall, Floor, Floor, Floor, Floor, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Ceiling1, Sand, Sand, Sand, Sand, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass
MountainG, MountainG, MountainG, Ceiling1, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Ceiling1, Sand, Sand, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, MountainG, MountainG, Ceiling1, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Floor, Ceiling1, Water, Water, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, Grass, Grass, Ceiling1, Floor, Floor, Floor, Ceiling1, Ceiling2, Ceiling2, Floor, Floor, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Floor, Floor, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Water, Water, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass
